id,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
ACE2,1,1,2,-3.1334853172302246,5.258309364318848,2.124824047088623,4.0,0.35294117647058826,0.40972222222222227,8.523809523809524,0,0.051088538407576704,0,4,0.5,0.2745574579302791
ASH1,0,3,3,0.0,-1.3021849617362022,-1.3021849617362022,5.0,0.3684210526315789,0.4928571428571429,0.0,2,0.018051122530707814,0,6,0.0,0.0
CIN5,3,1,4,0.921709418296814,-0.017515484243631363,0.9041939340531826,1.0,1.0,1.0,5.0,1,0.11722321803821745,0,1,0.0,0.7372306795012827
GCR2,3,3,6,0.5307687297463417,-1.6627909243106842,-1.1320221945643425,3.0,0.46153846153846156,0.5555555555555556,32.70238095238095,2,0.08584770358652416,0,4,0.10000000149011612,0.9482461625953604
GLN3,1,4,5,-0.8558264970779419,-7.0063139498233795,-7.862140446901321,3.0,0.48,0.5972222222222222,18.30952380952381,1,0.04849862800033514,0,4,0.10000000149011612,0.399598070818772
HAP4,2,2,4,-5.339793920516968,-1.9337028861045837,-7.2734968066215515,4.0,0.3870967741935484,0.4791666666666667,12.738095238095237,1,0.058807999503463146,0,4,0.3333333432674408,0.6032321418315676
HMO1,1,2,3,-0.5145910978317261,0.2673054113984108,-0.24728568643331528,4.0,0.42857142857142855,0.5069444444444444,16.476190476190474,0,0.051088538407576704,0,4,0.3333333432674408,0.2745574579302791
MSN2,2,1,3,-3.989664226770401,2.4566128253936768,-1.5330514013767242,2.0,0.6666666666666666,0.75,5.773809523809523,1,0.06872397376971688,0,2,0.0,0.44626621326111743
SFP1,2,0,2,-0.36490312591195107,0.0,-0.36490312591195107,0.0,0.0,0.0,0.0,1,0.1420214883229438,0,0,0.0,0.8519184187851687
STB5,1,1,2,-0.4098639488220215,-2.7076728343963623,-3.117536783218384,6.0,0.27906976744186046,0.3527777777777778,3.0,1,0.028360494033835823,0,4,0.0,0.20363407101279557
SWI4,3,2,5,-1.6443477496504784,-3.6480764150619507,-5.292424164712429,5.0,0.34285714285714286,0.44027777777777777,31.0,1,0.07770297083812049,0,4,0.10000000149011612,0.5116565942889281
SWI5,2,1,3,0.07427674531936646,-3.7417831420898438,-3.6675063967704773,3.0,0.5,0.611111111111111,6.7023809523809526,2,0.047479340945081216,0,3,0.0,0.47712841713682513
YHP1,3,3,6,-6.660664439201355,-1.6791527271270752,-8.33981716632843,4.0,0.375,0.46527777777777773,6.476190476190475,2,0.07444782648739032,0,4,0.30000001192092896,1.0
YOX1,3,3,6,4.4764567613601685,-2.0888535380363464,2.387603223323822,3.0,0.5,0.5833333333333333,50.29761904761905,0,0.10749572311990035,0,4,0.1666666716337204,0.775984054409216
ZAP1,1,1,2,-1.7226749658584595,-0.8267843723297119,-2.5494593381881714,2.0,0.6666666666666666,0.75,2.0,1,0.023162486162674214,0,5,0.0,0.0049048299439209435
