id,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,strongcompnum,clustering,eigencentrality
ACE2,2,1,3,-0.27686796337366104,-2.2472214698791504,-2.5240894332528114,5.0,0.2978723404255319,0.35595238095238096,13.5,0,0.03682020346647879,3,0.0,0.34837393021596486
ASH1,2,3,5,-0.7414608001708984,0.9412833452224731,0.1998225450515747,4.0,0.4117647058823529,0.5119047619047618,17.5,2,0.03455323690808692,3,0.15000000596046448,0.5665786934635857
CIN5,2,2,4,-5.522195070981979,0.02487960457801819,-5.497315466403961,6.0,0.25925925925925924,0.3607142857142857,31.5,0,0.04622052152712307,3,0.0,0.5283271519041124
GCR2,1,1,2,0.16987821459770203,0.4280470311641693,0.5979252457618713,5.0,0.2857142857142857,0.3464285714285715,22.5,0,0.03143584829654909,3,0.0,0.2649832674867576
GLN3,3,1,4,0.19131600856781006,0.34695369005203247,0.5382696986198425,0.0,0.0,0.0,0.0,1,0.3927845826366935,0,0.3333333432674408,1.0
HAP4,2,3,5,-0.6739099621772766,0.36154043674468994,-0.31236952543258667,5.0,0.358974358974359,0.4488095238095238,11.5,2,0.030560687413399297,3,0.3333333432674408,0.5567873607347845
HMO1,1,2,3,0.4280470311641693,-0.3484451547265053,0.07960187643766403,4.0,0.358974358974359,0.4404761904761904,25.5,0,0.03851456485292976,3,0.0,0.1347911757613165
MSN2,2,4,6,-2.6681392788887024,0.4246189594268799,-2.2435203194618225,4.0,0.4827586206896552,0.5892857142857143,66.0,1,0.06635332810142525,3,0.13333334028720856,0.5828826566387189
SFP1,3,2,5,1.7820312976837158,-1.389996588230133,0.39203470945358276,5.0,0.34146341463414637,0.40119047619047615,21.0,2,0.07585089869318465,3,0.4166666567325592,0.8368807927489097
STB5,1,0,1,-0.14499861001968384,0.0,-0.14499861001968384,0.0,0.0,0.0,0.0,3,0.03143584829654909,2,0.0,0.2649832674867576
SWI4,2,2,4,-4.70822948217392,-5.690295457839966,-10.398524940013885,5.0,0.3684210526315789,0.46071428571428574,40.0,0,0.05248003758020255,3,0.0833333358168602,0.31991372138529267
SWI5,1,1,2,0.74781334400177,1.8939849138259888,2.641798257827759,6.0,0.2641509433962264,0.32261904761904764,3.5,2,0.025890883789891947,3,0.5,0.2930917331656829
YHP1,2,2,4,-3.1932451725006104,-9.548065185546875,-12.741310358047485,4.0,0.3783783783783784,0.4583333333333333,33.5,1,0.057200426939467704,3,0.0833333358168602,0.4756590450960226
YOX1,2,1,3,-3.1140946447849274,0.35601890087127686,-2.7580757439136505,1.0,1.0,1.0,7.0,1,0.04421326369699638,1,0.0,0.4573640195560764
ZAP1,2,3,5,2.9360063672065735,-0.3413517475128174,2.594654619693756,5.0,0.4,0.5142857142857142,34.0,1,0.035685719955086084,3,0.10000000149011612,0.5731851651798088
